Species 1,Species 2,Mole frac species 1,Mole frac species 2,Temp (K),deltaH,Author,type,Link
KF,UF4,0.55,0.45,1145,-40040,Schorne-Pinto 2024,H_mix,Heat Mixing KF UF4 Schorne-Pinto.exp
NaF,UF4,0.55,0.45,1240,-24070,Schorne-Pinto et al. 2024,H_mix,Heat Mixing NaF UF4 Schorne-Pinto.exp
CsCl,CsI,0,1,1273,0,Momentov 1987,H_mix,Heat_Mixing_CsCl_CsI_Momentov.exp
CsCl,CsI,0.1261,0.8739,1273,82.53184099,Momentov 1987,H_mix,Heat_Mixing_CsCl_CsI_Momentov.exp
CsCl,CsI,0.2531,0.7469,1273,128.9240337,Momentov 1987,H_mix,Heat_Mixing_CsCl_CsI_Momentov.exp
CsCl,CsI,0.3752,0.6248,1273,152.0292751,Momentov 1987,H_mix,Heat_Mixing_CsCl_CsI_Momentov.exp
CsCl,CsI,0.4975,0.5025,1273,166.3098422,Momentov 1987,H_mix,Heat_Mixing_CsCl_CsI_Momentov.exp
CsCl,CsI,0.4994,0.5006,1273,167.359759,Momentov 1987,H_mix,Heat_Mixing_CsCl_CsI_Momentov.exp
CsCl,CsI,0.5013,0.4987,1273,167.3588686,Momentov 1987,H_mix,Heat_Mixing_CsCl_CsI_Momentov.exp
CsCl,CsI,0.6258,0.3742,1273,145.9880428,Momentov 1987,H_mix,Heat_Mixing_CsCl_CsI_Momentov.exp
CsCl,CsI,0.7493,0.2507,1273,118.6803148,Momentov 1987,H_mix,Heat_Mixing_CsCl_CsI_Momentov.exp
CsCl,CsI,0.874,0.126,1273,65.42775187,Momentov 1987,H_mix,Heat_Mixing_CsCl_CsI_Momentov.exp
CsCl,CsI,1,0,1273,0,Momentov 1987,H_mix,Heat_Mixing_CsCl_CsI_Momentov.exp
CsF,CsI,0,1,1273,0,Momentov 1987,H_mix,Heat_Mixing_CsF_CsI_Momentov.exp
CsF,CsI,0.17335,0.82665,1273,-715.5763465,Momentov 1987,H_mix,Heat_Mixing_CsF_CsI_Momentov.exp
CsF,CsI,0.26581,0.73419,1273,-924.4411372,Momentov 1987,H_mix,Heat_Mixing_CsF_CsI_Momentov.exp
CsF,CsI,0.32008,0.67992,1273,-993.4288354,Momentov 1987,H_mix,Heat_Mixing_CsF_CsI_Momentov.exp
CsF,CsI,0.41254,0.58746,1273,-1044.101059,Momentov 1987,H_mix,Heat_Mixing_CsF_CsI_Momentov.exp
CsF,CsI,0.75272,0.24728,1273,-640.6779596,Momentov 1987,H_mix,Heat_Mixing_CsF_CsI_Momentov.exp
CsF,CsI,0.8171,0.1829,1273,-486.0994483,Momentov 1987,H_mix,Heat_Mixing_CsF_CsI_Momentov.exp
CsF,CsI,0.85718,0.14282,1273,-386.3949002,Momentov 1987,H_mix,Heat_Mixing_CsF_CsI_Momentov.exp
CsF,CsI,1,0,1273,0,Momentov 1987,H_mix,Heat_Mixing_CsF_CsI_Momentov.exp
KCl,KI,0.2,0.8,1085,206.18752,Melnichak 1972,H_mix,Heat_Mixing_KCl_KI_Melnichak.exp
KCl,KI,0.3,0.7,1085,275.89296,Melnichak 1972,H_mix,Heat_Mixing_KCl_KI_Melnichak.exp
KCl,KI,0.3998,0.6002,1085,319.2696063,Melnichak 1972,H_mix,Heat_Mixing_KCl_KI_Melnichak.exp
KCl,KI,0.4999,0.5001,1085,354.5939858,Melnichak 1972,H_mix,Heat_Mixing_KCl_KI_Melnichak.exp
KCl,KI,0.6,0.4,1085,335.38944,Melnichak 1972,H_mix,Heat_Mixing_KCl_KI_Melnichak.exp
KCl,KI,0.7,0.3,1085,298.7376,Melnichak 1972,H_mix,Heat_Mixing_KCl_KI_Melnichak.exp
KCl,KI,0.8,0.2,1085,226.94016,Melnichak 1972,H_mix,Heat_Mixing_KCl_KI_Melnichak.exp
KCl,KI,0.85,0.15,1085,189.3783,Melnichak 1972,H_mix,Heat_Mixing_KCl_KI_Melnichak.exp
KF,KI,1,0,1273,0,Mamantov 1987,H_mix,Heat_Mixing_KF_KI_Mamantov.exp
KF,KI,0.8195,0.1805,1273,317.7970272,Mamantov 1987,H_mix,Heat_Mixing_KF_KI_Mamantov.exp
KF,KI,0.78574,0.21426,1273,316.0516263,Mamantov 1987,H_mix,Heat_Mixing_KF_KI_Mamantov.exp
KF,KI,0.77235,0.22765,1273,318.832356,Mamantov 1987,H_mix,Heat_Mixing_KF_KI_Mamantov.exp
KF,KI,0.39457,0.60543,1273,-142.4876952,Mamantov 1987,H_mix,Heat_Mixing_KF_KI_Mamantov.exp
KF,KI,0.28354,0.71646,1273,-263.1387963,Mamantov 1987,H_mix,Heat_Mixing_KF_KI_Mamantov.exp
KF,KI,0.2297,0.7703,1273,-268.5245959,Mamantov 1987,H_mix,Heat_Mixing_KF_KI_Mamantov.exp
KF,KI,0.20446,0.79554,1273,-286.2951023,Mamantov 1987,H_mix,Heat_Mixing_KF_KI_Mamantov.exp
KF,KI,0.13054,0.86946,1273,-252.5227771,Mamantov 1987,H_mix,Heat_Mixing_KF_KI_Mamantov.exp
KF,KI,0,1,1273,0,Mamantov 1987,H_mix,Heat_Mixing_KF_KI_Mamantov.exp
KF,KI,0,1,1130,0,Sangster 1987,H_mix,Heat_Mixing_KF_KI_Sangster.exp
KF,KI,0.05,0.95,1130,-186.169125,Sangster 1987,H_mix,Heat_Mixing_KF_KI_Sangster.exp
