Species 1,Species 2,Mole frac species 1,Mole frac species 2,deltaH,Temp (K)
BaF2,KF,1,0,0,1200
BaF2,KF,0.99,0.01,-10.47,1200
BaF2,KF,0.98,0.02,-20.9,1200
BaF2,KF,0.97,0.03,-31.26,1200
BaF2,KF,0.96,0.04,-41.58,1200
BaF2,KF,0.95,0.05,-51.83,1200
BaF2,KF,0.94,0.06,-62.03,1200
BaF2,KF,0.93,0.07,-72.17,1200
BaF2,KF,0.92,0.08,-82.24,1200
BaF2,KF,0.91,0.09,-92.25,1200
BaF2,KF,0.9,0.1,-102.19,1200
BaF2,KF,0.89,0.11,-112.06,1200
BaF2,KF,0.88,0.12,-121.86,1200
BaF2,KF,0.87,0.13,-131.58,1200
BaF2,KF,0.86,0.14,-141.23,1200
BaF2,KF,0.85,0.15,-150.8,1200
BaF2,KF,0.84,0.16,-160.29,1200
BaF2,KF,0.83,0.17,-169.69,1200
BaF2,KF,0.82,0.18,-179.01,1200
BaF2,KF,0.81,0.19,-188.24,1200
BaF2,KF,0.8,0.2,-197.37,1200
BaF2,KF,0.79,0.21,-206.41,1200
BaF2,KF,0.78,0.22,-215.34,1200
BaF2,KF,0.77,0.23,-224.17,1200
BaF2,KF,0.76,0.24,-232.89,1200
BaF2,KF,0.75,0.25,-241.5,1200
BaF2,KF,0.74,0.26,-250,1200
BaF2,KF,0.73,0.27,-258.37,1200
BaF2,KF,0.72,0.28,-266.62,1200
BaF2,KF,0.71,0.29,-274.74,1200
BaF2,KF,0.7,0.3,-282.73,1200
BaF2,KF,0.69,0.31,-290.58,1200
BaF2,KF,0.68,0.32,-298.28,1200
BaF2,KF,0.67,0.33,-305.83,1200
BaF2,KF,0.66,0.34,-313.23,1200
BaF2,KF,0.65,0.35,-320.46,1200
BaF2,KF,0.64,0.36,-327.53,1200
BaF2,KF,0.63,0.37,-334.42,1200
BaF2,KF,0.62,0.38,-341.12,1200
BaF2,KF,0.61,0.39,-347.64,1200
BaF2,KF,0.6,0.4,-353.97,1200
BaF2,KF,0.59,0.41,-360.08,1200
BaF2,KF,0.58,0.42,-365.99,1200
BaF2,KF,0.57,0.43,-371.68,1200
BaF2,KF,0.56,0.44,-377.13,1200
BaF2,KF,0.55,0.45,-382.35,1200
BaF2,KF,0.54,0.46,-387.32,1200
BaF2,KF,0.53,0.47,-392.03,1200
BaF2,KF,0.52,0.48,-396.47,1200
BaF2,KF,0.51,0.49,-400.63,1200
BaF2,KF,0.5,0.5,-404.51,1200
BaF2,KF,0.49,0.51,-408.08,1200
BaF2,KF,0.48,0.52,-411.34,1200
