X,Y,group,Species 1,Species 2,Author
1.00E-05,1008.1288,1,BaF2,KF,MSTDB-TC V3.1
0.99999,1008.1288,1,BaF2,KF,MSTDB-TC V3.1
1.00E-05,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.0250095,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.050009,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.0750085,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.100008,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.1250075,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.150007,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.1750065,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.200006,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.2250055,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.250005,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.2750045,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.300004,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.3250035,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.350003,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.3750025,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.400002,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.4250015,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.450001,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.4750005,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.5,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.5249995,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.549999,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.5749985,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.599998,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.6249975,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.649997,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.6749965,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.699996,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.718360413,1008.1288,2,BaF2,KF,MSTDB-TC V3.1
0.719317813,1008.60516,2,BaF2,KF,MSTDB-TC V3.1
0.743272538,1020.40562,2,BaF2,KF,MSTDB-TC V3.1
0.767266569,1031.98663,2,BaF2,KF,MSTDB-TC V3.1
0.791301301,1043.33553,2,BaF2,KF,MSTDB-TC V3.1
0.815377664,1054.44158,2,BaF2,KF,MSTDB-TC V3.1
0.839495902,1065.29744,2,BaF2,KF,MSTDB-TC V3.1
0.86365551,1075.8999,2,BaF2,KF,MSTDB-TC V3.1
0.887855242,1086.25022,2,BaF2,KF,MSTDB-TC V3.1
0.912093212,1096.354,2,BaF2,KF,MSTDB-TC V3.1
0.936367038,1106.22065,2,BaF2,KF,MSTDB-TC V3.1
0.960674008,1115.86257,2,BaF2,KF,MSTDB-TC V3.1
0.985011254,1125.29428,2,BaF2,KF,MSTDB-TC V3.1
0.99999,1130.99622,2,BaF2,KF,MSTDB-TC V3.1
1.00E-05,1479.95887,3,BaF2,KF,MSTDB-TC V3.1
0.0250095,1479.95887,3,BaF2,KF,MSTDB-TC V3.1
0.050009,1479.95887,3,BaF2,KF,MSTDB-TC V3.1
0.0750085,1479.95887,3,BaF2,KF,MSTDB-TC V3.1
0.100008,1479.95887,3,BaF2,KF,MSTDB-TC V3.1
0.1250075,1479.95887,3,BaF2,KF,MSTDB-TC V3.1
0.150007,1479.95887,3,BaF2,KF,MSTDB-TC V3.1
0.169252957,1479.95887,3,BaF2,KF,MSTDB-TC V3.1
0.168385983,1480.7811,3,BaF2,KF,MSTDB-TC V3.1
0.146711145,1501.33553,3,BaF2,KF,MSTDB-TC V3.1
0.125037153,1521.89239,3,BaF2,KF,MSTDB-TC V3.1
0.103366508,1542.45885,3,BaF2,KF,MSTDB-TC V3.1
0.081701564,1563.04167,3,BaF2,KF,MSTDB-TC V3.1
0.060044547,1583.64718,3,BaF2,KF,MSTDB-TC V3.1
0.03839756,1604.28136,3,BaF2,KF,MSTDB-TC V3.1
0.016762601,1624.94986,3,BaF2,KF,MSTDB-TC V3.1
1.00E-05,1640.99016,3,BaF2,KF,MSTDB-TC V3.1
1.00E-05,1479.95887,4,BaF2,KF,MSTDB-TC V3.1
0.0250095,1479.95887,4,BaF2,KF,MSTDB-TC V3.1
0.050009,1479.95887,4,BaF2,KF,MSTDB-TC V3.1
0.0750085,1479.95887,4,BaF2,KF,MSTDB-TC V3.1
0.100008,1479.95887,4,BaF2,KF,MSTDB-TC V3.1
0.1250075,1479.95887,4,BaF2,KF,MSTDB-TC V3.1
0.150007,1479.95887,4,BaF2,KF,MSTDB-TC V3.1
0.169252957,1479.95887,4,BaF2,KF,MSTDB-TC V3.1
0.170141696,1479.20254,4,BaF2,KF,MSTDB-TC V3.1
0.192352659,1460.27039,4,BaF2,KF,MSTDB-TC V3.1
0.214553737,1441.30669,4,BaF2,KF,MSTDB-TC V3.1
0.236747995,1422.32128,4,BaF2,KF,MSTDB-TC V3.1
0.25893578,1403.31528,4,BaF2,KF,MSTDB-TC V3.1
0.281116306,1384.28622,4,BaF2,KF,MSTDB-TC V3.1
0.303289345,1365.23343,4,BaF2,KF,MSTDB-TC V3.1
0.325456955,1346.16344,4,BaF2,KF,MSTDB-TC V3.1
0.34762522,1327.09552,4,BaF2,KF,MSTDB-TC V3.1
