X,Y,group,Species 1,Species 2
1.00E-05,646,1,NaCl,ZrCl4
0.333333333,646,1,NaCl,ZrCl4
0.358342833,646,1,NaCl,ZrCl4
0.383342333,646,1,NaCl,ZrCl4
0.408341833,646,1,NaCl,ZrCl4
0.420256812,646,1,NaCl,ZrCl4
0.420097982,647.086036,1,NaCl,ZrCl4
0.416046794,674.222553,1,NaCl,ZrCl4
0.411708924,701.305396,1,NaCl,ZrCl4
0.406918031,728.295694,1,NaCl,ZrCl4
0.401514455,755.145614,1,NaCl,ZrCl4
0.395310889,781.785476,1,NaCl,ZrCl4
0.388045999,808.098691,1,NaCl,ZrCl4
0.37929675,833.859545,1,NaCl,ZrCl4
0.368257683,858.533261,1,NaCl,ZrCl4
0.353032464,880.345,1,NaCl,ZrCl4
0.348148181,884.634341,1,NaCl,ZrCl4
0.342679939,887.963477,1,NaCl,ZrCl4
0.336674838,889.868675,1,NaCl,ZrCl4
0.333333333,890.146322,1,NaCl,ZrCl4
0.329981899,889.867656,1,NaCl,ZrCl4
0.326712657,889.058254,1,NaCl,ZrCl4
0.323569789,887.779319,1,NaCl,ZrCl4
0.317756044,884.111477,1,NaCl,ZrCl4
0.307966926,874.039043,1,NaCl,ZrCl4
0.294197204,851.086516,1,NaCl,ZrCl4
0.283793655,826.08088,1,NaCl,ZrCl4
0.281003117,818.084536,1,NaCl,ZrCl4
1.00E-05,818.084536,1,NaCl,ZrCl4
1.00E-05,646,2,NaCl,ZrCl4
0.333333333,646,2,NaCl,ZrCl4
0.358342833,646,2,NaCl,ZrCl4
0.383342333,646,2,NaCl,ZrCl4
0.408341833,646,2,NaCl,ZrCl4
0.420256812,646,2,NaCl,ZrCl4
0.420974342,645.233837,2,NaCl,ZrCl4
0.436011412,628.366536,2,NaCl,ZrCl4
0.5,628.366536,2,NaCl,ZrCl4
0.5,400,2,NaCl,ZrCl4
1.00E-05,818.084536,3,NaCl,ZrCl4
0.333333333,818.084536,3,NaCl,ZrCl4
0.333333333,890.146647,3,NaCl,ZrCl4
0.333333333,628.366536,3,NaCl,ZrCl4
0.5,628.366536,3,NaCl,ZrCl4
0.5,646.230149,3,NaCl,ZrCl4
0.5,592.190077,3,NaCl,ZrCl4
0.666666667,592.190077,3,NaCl,ZrCl4
0.666666667,599.411981,3,NaCl,ZrCl4
0.666666667,599.151342,3,NaCl,ZrCl4
0.99999,599.151342,3,NaCl,ZrCl4
1.00E-05,1073.79816,4,NaCl,ZrCl4
0.000964897,1073.4716,4,NaCl,ZrCl4
0.024628139,1064.60117,4,NaCl,ZrCl4
0.048043117,1054.96647,4,NaCl,ZrCl4
0.071487746,1045.41942,4,NaCl,ZrCl4
0.095031998,1036.17379,4,NaCl,ZrCl4
0.118419142,1026.45763,4,NaCl,ZrCl4
0.141166192,1015.04988,4,NaCl,ZrCl4
0.162707986,1001.09537,4,NaCl,ZrCl4
0.182599707,984.438318,4,NaCl,ZrCl4
0.200660602,965.424187,4,NaCl,ZrCl4
0.216944787,944.558527,4,NaCl,ZrCl4
0.231628684,922.30222,4,NaCl,ZrCl4
0.244921368,899.01188,4,NaCl,ZrCl4
0.257020172,874.946929,4,NaCl,ZrCl4
0.268095646,850.292963,4,NaCl,ZrCl4
0.278289995,825.183283,4,NaCl,ZrCl4
0.281003117,818.084536,4,NaCl,ZrCl4
0.333333333,818.084536,4,NaCl,ZrCl4
0.333333333,400,4,NaCl,ZrCl4
0.99999,599.151342,5,NaCl,ZrCl4
0.9749905,599.151342,5,NaCl,ZrCl4
0.949991,599.151342,5,NaCl,ZrCl4
0.9249915,599.151342,5,NaCl,ZrCl4
0.899992,599.151342,5,NaCl,ZrCl4
0.8749925,599.151342,5,NaCl,ZrCl4
