Species 1,Species 2,Mole frac species 1,Mole frac species 2,Temp (K),Author,type
KCl,ZrCl4,0.99733,0.00267,1051.1472,Morozov (1959),
KCl,ZrCl4,0.962617,0.037383,1030.8369,Morozov (1959),
KCl,ZrCl4,0.910547,0.089453,1012.2191,Morozov (1959),
KCl,ZrCl4,0.857143,0.142857,985.985,Morozov (1959),
KCl,ZrCl4,0.757009,0.242991,866.662,Morozov (1959),
KCl,ZrCl4,0.963952,0.036048,857.3531,Morozov (1959),
KCl,ZrCl4,0.911883,0.088117,863.2769,Morozov (1959),
KCl,ZrCl4,0.858478,0.141522,865.8157,Morozov (1959),
KCl,ZrCl4,0.806409,0.193591,869.2008,Morozov (1959),
KCl,ZrCl4,0.802403,0.197597,897.9737,Morozov (1959),
KCl,ZrCl4,0.715621,0.284379,979.2149,Morozov (1959),
KCl,ZrCl4,0.663551,0.336449,1068.9187,Morozov (1959),
KCl,ZrCl4,0.556742,0.443258,897.1274,Morozov (1959),
KCl,ZrCl4,0.512684,0.487316,830.2727,Morozov (1959),
KCl,ZrCl4,0.464619,0.535381,614.4758,Morozov (1959),
KCl,ZrCl4,0.420561,0.579439,494.3066,Morozov (1959),
KCl,ZrCl4,0.244326,0.755674,618.7071,Morozov (1959),
KCl,ZrCl4,0,1,710.9497,Morozov (1959),
KCl,ZrCl4,0.554072,0.445928,494.3066,Morozov (1959),
KCl,ZrCl4,0.512684,0.487316,493.4603,Morozov (1959),
KCl,ZrCl4,0.463284,0.536716,494.3066,Morozov (1959),
KCl,ZrCl4,0.241656,0.758344,501.9229,Morozov (1959),
KCl,ZrCl4,0.715621,0.284379,862.4307,Morozov (1959),
KCl,ZrCl4,0.911883,0.088117,803.1923,Morozov (1959),
KCl,ZrCl4,0.859813,0.140187,800.6535,Morozov (1959),
KCl,ZrCl4,0.810414,0.189586,801.4998,Morozov (1959),
KCl,ZrCl4,0.758344,0.241656,801.4998,Morozov (1959),
KCl,ZrCl4,0.716956,0.283044,803.1923,Morozov (1959),
KCl,ZrCl4,0.521611,0.478389,716.4217,Howell (1957),
KCl,ZrCl4,0.500894,0.499106,693.027,Howell (1957),
KCl,ZrCl4,0.481654,0.518346,672.556,Howell (1957),
KCl,ZrCl4,0.456492,0.543508,646.9666,Howell (1957),
KCl,ZrCl4,0.433563,0.566437,617.3597,Howell (1957),
KCl,ZrCl4,0.413608,0.586392,584.4666,Howell (1957),
KCl,ZrCl4,0.415828,0.584172,587.0253,Howell (1957),
KCl,ZrCl4,0.395864,0.604136,558.151,Howell (1957),
KCl,ZrCl4,0.389207,0.610793,550.1093,Howell (1957),
KCl,ZrCl4,0.376624,0.623376,538.0453,Howell (1957),
KCl,ZrCl4,0.370682,0.629318,542.0605,Howell (1957),
KCl,ZrCl4,0.365485,0.634515,544.6147,Howell (1957),
KCl,ZrCl4,0.343959,0.656041,553.0045,Howell (1957),
KCl,ZrCl4,0.348923344,0.651076656,577.4744757,Kellogg (1965),
KCl,ZrCl4,0.35222782,0.64777218,546.3468197,Kellogg (1965),
KCl,ZrCl4,0.351413211,0.648586789,507.5033957,Kellogg (1965),
KCl,ZrCl4,0.33845275,0.66154725,507.496255,Kellogg (1965),
KCl,ZrCl4,0.327537738,0.672462262,507.2147591,Kellogg (1965),
KCl,ZrCl4,0.337114799,0.662885201,515.2090164,Kellogg (1965),
KCl,ZrCl4,0.337884309,0.662115691,540.8292751,Kellogg (1965),
KCl,ZrCl4,0.337201239,0.662798761,540.5534167,Kellogg (1965),
KCl,ZrCl4,0.348816233,0.651183767,546.069458,Kellogg (1965),
KCl,ZrCl4,0.328430332,0.671569668,568.9232399,Kellogg (1965),
KCl,ZrCl4,0.329828415,0.670171585,578.8413655,Kellogg (1965),
KCl,ZrCl4,0.325734699,0.674265301,578.5636279,Kellogg (1965),
KCl,ZrCl4,0.329147225,0.670852775,579.1164723,Kellogg (1965),
KCl,ZrCl4,0.30681547,0.69318453,631.4457661,Kellogg (1965),
KCl,ZrCl4,0.304768142,0.695231858,631.169156,Kellogg (1965),
KCl,ZrCl4,0.301382863,0.698617137,638.6053074,Kellogg (1965),
KCl,ZrCl4,0.299340232,0.700659768,639.7061103,Kellogg (1965),
KCl,ZrCl4,0.293910444,0.706089556,647.6920994,Kellogg (1965),
KCl,ZrCl4,0.292547124,0.707452876,647.9668304,Kellogg (1965),
KCl,ZrCl4,0.000123084,0.999876916,709.2382221,Kellogg (1965),
KCl,ZrCl4,0.666770532,0.333229468,1072.999892,Lister and Flengas (1965),
KCl,ZrCl4,0.681955401,0.318044599,1058.405698,Lister and Flengas (1965),
KCl,ZrCl4,0.689997074,0.310002926,1046.114719,Lister and Flengas (1965),
KCl,ZrCl4,0.697719713,0.302280287,1039.028061,Lister and Flengas (1965),
KCl,ZrCl4,0.717066147,0.282933853,1006.954659,Lister and Flengas (1965),
KCl,ZrCl4,0.72959668,0.27040332,981.9675923,Lister and Flengas (1965),
KCl,ZrCl4,0.737995031,0.262004969,973.4268173,Lister and Flengas (1965),
KCl,ZrCl4,0.745644228,0.254355772,966.9683969,Lister and Flengas (1965),
KCl,ZrCl4,0.773289218,0.226710782,889.9438495,Lister and Flengas (1965),
KCl,ZrCl4,0.787987855,0.212012145,895.7613959,Lister and Flengas (1965),
KCl,ZrCl4,0.818402586,0.181597414,937.3674474,Lister and Flengas (1965),
KCl,ZrCl4,0.834528608,0.165471392,950.2627962,Lister and Flengas (1965),
KCl,ZrCl4,0.866002931,0.133997069,982.2993694,Lister and Flengas (1965),
KCl,ZrCl4,0.888404531,0.111595469,999.1486106,Lister and Flengas (1965),
KCl,ZrCl4,0.928813376,0.071186624,1022.861274,Lister and Flengas (1965),
KCl,ZrCl4,0.697952539,0.302047461,865.8747855,Lister and Flengas (1965),
KCl,ZrCl4,0.717134459,0.282865541,867.308382,Lister and Flengas (1965),
KCl,ZrCl4,0.774240622,0.225759378,866.8422525,Lister and Flengas (1965),
KCl,ZrCl4,0.788184511,0.211815489,867.4574225,Lister and Flengas (1965),
KCl,ZrCl4,0.81847662,0.18152338,867.0240171,Lister and Flengas (1965),
KCl,ZrCl4,0.834157971,0.165842029,869.7218656,Lister and Flengas (1965),
NaCl,ZrCl4,0.999233533,0.000766467,1074.677711,Barton (1959),
NaCl,ZrCl4,0.90095343,0.09904657,1039.293072,Barton (1959),
NaCl,ZrCl4,0.850260638,0.149739362,1007.668874,Barton (1959),
NaCl,ZrCl4,0.798783555,0.201216445,962.8852082,Barton (1959),
NaCl,ZrCl4,0.748806727,0.251193273,891.0012834,Barton (1959),
NaCl,ZrCl4,0.718756065,0.281243935,797.3936591,Barton (1959),
NaCl,ZrCl4,0.699631026,0.300368974,845.4380786,Barton (1959),
NaCl,ZrCl4,0.667464162,0.332535838,897.3837564,Barton (1959),
NaCl,ZrCl4,0.619049977,0.380950023,847.1736216,Barton (1959),
NaCl,ZrCl4,0.587555505,0.412444495,824.7951572,Barton (1959),
NaCl,ZrCl4,0.573676903,0.426323097,774.5048107,Barton (1959),
NaCl,ZrCl4,0.54828149,0.45171851,720.3702452,Barton (1959),
NaCl,ZrCl4,0.523625806,0.476374194,644.5565423,Barton (1959),
NaCl,ZrCl4,0.497528292,0.502471708,641.5203817,Barton (1959),
NaCl,ZrCl4,0.472959752,0.527040248,633.8355086,Barton (1959),
NaCl,ZrCl4,0.446087849,0.553912151,625.3817918,Barton (1959),
NaCl,ZrCl4,0.423048281,0.576951719,613.0482062,Barton (1959),
NaCl,ZrCl4,0.399998812,0.600001188,592.9727082,Barton (1959),
NaCl,ZrCl4,0.372361432,0.627638568,586.0691563,Barton (1959),
NaCl,ZrCl4,0.350114079,0.649885921,593.0885695,Barton (1959),
NaCl,ZrCl4,0.299520314,0.700479686,638.883497,Barton (1959),
NaCl,ZrCl4,0.247369849,0.752630151,667.6497819,Barton (1959),
NaCl,ZrCl4,-0.001229912,1.001229912,712.3562072,Barton (1959),
NaCl,ZrCl4,0.900654369,0.099345631,805.4873147,Barton (1959),
NaCl,ZrCl4,0.851531152,0.148468848,800.956246,Barton (1959),
NaCl,ZrCl4,0.800118436,0.199881564,806.495011,Barton (1959),
NaCl,ZrCl4,0.751003141,0.248996859,808.1574724,Barton (1959),
NaCl,ZrCl4,0.694194457,0.305805543,795.1281248,Barton (1959),
NaCl,ZrCl4,0.899003593,0.100996407,714.9105036,Barton (1959),
NaCl,ZrCl4,0.850655755,0.149344245,716.5711824,Barton (1959),
NaCl,ZrCl4,0.799236108,0.200763892,716.6906087,Barton (1959),
NaCl,ZrCl4,0.748584908,0.251415092,717.5824437,Barton (1959),
NaCl,ZrCl4,0.71788562,0.28211438,716.8795518,Barton (1959),
NaCl,ZrCl4,0.699468622,0.300531378,718.4707138,Barton (1959),
NaCl,ZrCl4,0.664919174,0.335080826,707.712248,Barton (1959),
NaCl,ZrCl4,0.900441461,0.099558539,639.0361963,Barton (1959),
NaCl,ZrCl4,0.850558709,0.149441291,640.7004401,Barton (1959),
NaCl,ZrCl4,0.799907509,0.200092491,641.5922751,Barton (1959),
NaCl,ZrCl4,0.748488852,0.251511148,642.4858926,Barton (1959),
NaCl,ZrCl4,0.717788574,0.282211426,641.0088094,Barton (1959),
NaCl,ZrCl4,0.697836661,0.302163339,642.6035364,Barton (1959),
NaCl,ZrCl4,0.665603449,0.334396551,642.6784007,Barton (1959),
NaCl,ZrCl4,0.901946668,0.098053332,615.8068938,Barton (1959),
NaCl,ZrCl4,0.749204815,0.250795185,602.2261652,Barton (1959),
NaCl,ZrCl4,0.717744012,0.282255988,606.1702032,Barton (1959),
NaCl,ZrCl4,0.69701969,0.30298031,603.8957565,Barton (1959),
NaCl,ZrCl4,0.66401605,0.33598395,601.6498295,Barton (1959),
NaCl,ZrCl4,0.618829147,0.381170853,674.5289733,Barton (1959),
NaCl,ZrCl4,0.573549159,0.426450841,674.6341397,Barton (1959),
NaCl,ZrCl4,0.618787556,0.381212444,642.0129408,Barton (1959),
NaCl,ZrCl4,0.586564247,0.413435753,649.8297175,Barton (1959),
NaCl,ZrCl4,0.586553354,0.413446646,641.3136138,Barton (1959),
NaCl,ZrCl4,0.5727411,0.4272589,642.894081,Barton (1959),
NaCl,ZrCl4,0.548182463,0.451817537,642.9511204,Barton (1959),
NaCl,ZrCl4,0.618760819,0.381239181,621.1097771,Barton (1959),
NaCl,ZrCl4,0.58576213,0.41423787,622.7348063,Barton (1959),
NaCl,ZrCl4,0.572714363,0.427285637,621.9909173,Barton (1959),
NaCl,ZrCl4,0.547388268,0.452611732,622.0497392,Barton (1959),
NaCl,ZrCl4,0.523597088,0.476402912,622.1049961,Barton (1959),
NaCl,ZrCl4,0.588774524,0.411225476,577.824584,Barton (1959),
NaCl,ZrCl4,0.574192833,0.425807167,577.8584511,Barton (1959),
NaCl,ZrCl4,0.547331823,0.452668177,577.920838,Barton (1959),
NaCl,ZrCl4,0.525074567,0.474925433,577.1983387,Barton (1959),
NaCl,ZrCl4,0.498988937,0.501011063,583.4524731,Barton (1959),
NaCl,ZrCl4,0.475190825,0.524809175,578.0883913,Barton (1959),
NaCl,ZrCl4,0.449107175,0.550892825,585.8909082,Barton (1959),
NaCl,ZrCl4,0.425314014,0.574685986,584.3977826,Barton (1959),
NaCl,ZrCl4,0.300988881,0.699011119,587.0091184,Barton (1959),
NaCl,ZrCl4,0.249574185,0.750425815,590.9995009,Barton (1959),
NaCl,ZrCl4,0.998,0.002,1073.358,Howell (1957),
NaCl,ZrCl4,0.726,0.274,836.972,Howell (1957),
NaCl,ZrCl4,0.726,0.274,821.383,Howell (1957),
NaCl,ZrCl4,0.702,0.298,823.288,Howell (1957),
NaCl,ZrCl4,0.703,0.297,876.531,Howell (1957),
NaCl,ZrCl4,0.672,0.328,914.887,Howell (1957),
NaCl,ZrCl4,0.532,0.468,739.731,Howell (1957),
NaCl,ZrCl4,0.536,0.464,656.272,Howell (1957),
NaCl,ZrCl4,0.576,0.424,656.293,Howell (1957),
NaCl,ZrCl4,0.602,0.398,656.308,Howell (1957),
NaCl,ZrCl4,0.624,0.376,657.759,Howell (1957),
NaCl,ZrCl4,0.471,0.529,637.528,Howell (1957),
NaCl,ZrCl4,0.419,0.581,613.516,Howell (1957),
NaCl,ZrCl4,0.468,0.532,587.881,Howell (1957),
NaCl,ZrCl4,0.419,0.581,588.574,Howell (1957),
NaCl,ZrCl4,0.389,0.611,588.557,Howell (1957),
NaCl,ZrCl4,0.378,0.622,587.591,Howell (1957),
NaCl,ZrCl4,0.342,0.658,590.929,Howell (1957),
NaCl,ZrCl4,0.354,0.646,593.814,Howell (1957),
NaCl,ZrCl4,0.342,0.658,607.238,Howell (1957),
NaCl,ZrCl4,0.286,0.714,624.475,Howell (1957),
NaCl,ZrCl4,0.001,0.999,710.177,Howell (1957),
BaF2,UF4,1,0,1633.15,Recker (1974),
BaF2,UF4,0.900158645,0.099841355,1627.662912,Recker (1974),
BaF2,UF4,0.797791849,0.202208151,1583.784309,Recker (1974),
BaF2,UF4,0.750042373,0.249957627,1552.985118,Recker (1974),
BaF2,UF4,0.698242022,0.301757978,1499.592213,Recker (1974),
BaF2,UF4,0.596065058,0.403934942,1365.391642,Recker (1974),
BaF2,UF4,0.547078285,0.452921715,1273.298137,Recker (1974),
BaF2,UF4,0.496718622,0.503281378,1184.426009,Recker (1974),
BaF2,UF4,0.446297941,0.553702059,1124.585942,Recker (1974),
BaF2,UF4,0.395924718,0.604075282,1042.165383,Recker (1974),
BaF2,UF4,0.363307548,0.636692452,961.4150052,Recker (1974),
BaF2,UF4,0.34545319,0.65454681,1006.518701,Recker (1974),
BaF2,UF4,0.298866433,0.701133567,1072.497453,Recker (1974),
BaF2,UF4,0.198957281,0.801042719,1159.27194,Recker (1974),
BaF2,UF4,0.097736256,0.902263744,1220.235743,Recker (1974),
BaF2,UF4,-0.000742378,1.000742378,1276.369683,Recker (1974),
BaF2,UF4,0.697536932,0.302463068,1185.07381,Recker (1974),
BaF2,UF4,0.596434552,0.403565448,1189.586383,Recker (1974),
BaF2,UF4,0.446647096,0.553352904,958.458036,Recker (1974),
BaF2,UF4,0.396100991,0.603899009,958.294984,Recker (1974),
BaF2,UF4,0.345544716,0.654455284,962.970609,Recker (1974),
BaF2,UF4,0.299093553,0.700906447,964.4336697,Recker (1974),
BaF2,UF4,0.199364063,0.800635937,965.7248649,Recker (1974),
BaF2,UF4,0.099637964,0.900362036,965.4031678,Recker (1974),
BaF2,UF4,0.74,0.26,763,Mukherjee (2017),
BaF2,UF4,0.28,0.72,917,Mukherjee (2017),
BaF2,UF4,0.5,0.5,1267,Mukherjee (2017),
CaF2,UF4,1,0,1694.968357,Nekrasova (1967),
CaF2,UF4,0.974506164,0.025493836,1672.356332,Nekrasova (1967),
CaF2,UF4,0.962320089,0.037679911,1640.152032,Nekrasova (1967),
CaF2,UF4,0.887045423,0.112954577,1610.176169,Nekrasova (1967),
CaF2,UF4,0.850605914,0.149394086,1591.163572,Nekrasova (1967),
CaF2,UF4,0.766784395,0.233215605,1515.129448,Nekrasova (1967),
CaF2,UF4,0.736305155,0.263694845,1494.28112,Nekrasova (1967),
CaF2,UF4,0.65618571,0.34381429,1416.292756,Nekrasova (1967),
CaF2,UF4,0.640868035,0.359131965,1428.54568,Nekrasova (1967),
CaF2,UF4,0.61658509,0.38341491,1395.409571,Nekrasova (1967),
