A,B,C,X,Y,Z,temp_k,Author
KF,LiF,NaF,0,1,0,1117.15,Bergmann (1941)
KF,LiF,NaF,0,0.91,0.09,1083.102,Bergmann (1941)
KF,LiF,NaF,0,0.86,0.14,1055.825,Bergmann (1941)
KF,LiF,NaF,0,0.814,0.186,1030.24,Bergmann (1941)
KF,LiF,NaF,0,0.759,0.241,1003.174,Bergmann (1941)
KF,LiF,NaF,0,0.709,0.291,974.841,Bergmann (1941)
KF,LiF,NaF,0,0.615,0.385,924.727,Bergmann (1941)
KF,LiF,NaF,0,0.555,0.445,978.612,Bergmann (1941)
KF,LiF,NaF,0,0.505,0.495,1017.704,Bergmann (1941)
KF,LiF,NaF,0,0.456,0.544,1052.992,Bergmann (1941)
KF,LiF,NaF,0,0.408,0.592,1084.475,Bergmann (1941)
KF,LiF,NaF,0,0.358,0.642,1115.535,Bergmann (1941)
KF,LiF,NaF,0,0.307,0.693,1142.579,Bergmann (1941)
KF,LiF,NaF,0,0.257,0.743,1168.988,Bergmann (1941)
KF,LiF,NaF,0,0.158,0.842,1213.988,Bergmann (1941)
KF,LiF,NaF,0,0.097,0.903,1238.916,Bergmann (1941)
KF,LiF,NaF,0,0,1,1269.968,Bergmann (1941)
KF,LiF,NaF,0,0,1,1267.65,Holm (1965)
KF,LiF,NaF,0,0.05,0.95,1247.25,Holm (1965)
KF,LiF,NaF,0,0.1,0.9,1228.05,Holm (1965)
KF,LiF,NaF,0,0.1989,0.8011,1181.95,Holm (1965)
KF,LiF,NaF,0,0.3,0.7,1131.35,Holm (1965)
KF,LiF,NaF,0,0.4,0.6,1074.15,Holm (1965)
KF,LiF,NaF,0,0.5,0.5,1005.85,Holm (1965)
KF,LiF,NaF,0,0.6,0.4,925.75,Holm (1965)
KF,LiF,NaF,0,0.6443,0.3557,945.85,Holm (1965)
KF,LiF,NaF,0,0.7,0.3,978.75,Holm (1965)
KF,LiF,NaF,0,0.8,0.2,1033.35,Holm (1965)
KF,LiF,NaF,0,0.9,0.1,1079.55,Holm (1965)
KF,LiF,NaF,0,1,0,1119.45,Holm (1965)
KF,LiF,NaF,0,0,1,1266.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.005,0.995,1264.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.01,0.99,1263.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.015,0.985,1260.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.02,0.98,1259.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.025,0.975,1257.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.03,0.97,1255.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.035,0.965,1253.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.04,0.96,1251.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.045,0.955,1249.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.05,0.95,1247.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.06,0.94,1243.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.07,0.93,1238.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.08,0.92,1235.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.09,0.91,1231.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.1,0.9,1226.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.2,0.8,1181.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.3,0.7,1127.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.4,0.6,1070.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.5,0.5,1008.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.55,0.45,973.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.56,0.44,964.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.57,0.43,956.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.58,0.42,947.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.59,0.41,937.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.595,0.405,934.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.6,0.4,929.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.61,0.39,927.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.615,0.385,929.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.62,0.38,933.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.63,0.37,939.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.64,0.36,947.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.65,0.35,953.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.7,0.3,982.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.8,0.2,1032.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.9,0.1,1076.65,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.95,0.05,1099.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.96,0.04,1106.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.97,0.03,1110.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.98,0.02,1114.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.99,0.01,1117.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,0.995,0.005,1119.15,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,1,0,1121.45,Malinovsky and Gabcova (1976)
KF,LiF,NaF,0,1,0,1116.878,Bergmann (1941)
KF,LiF,NaF,0.2,0.8,0,1016.962,Bergmann (1941)
KF,LiF,NaF,0.25,0.75,0,987.419,Bergmann (1941)
KF,LiF,NaF,0.3,0.7,0,953.229,Bergmann (1941)
KF,LiF,NaF,0.35,0.65,0,909.205,Bergmann (1941)
KF,LiF,NaF,0.4,0.6,0,857.809,Bergmann (1941)
KF,LiF,NaF,0.45,0.55,0,808.335,Bergmann (1941)
KF,LiF,NaF,0.477,0.523,0,778.818,Bergmann (1941)
KF,LiF,NaF,0.5,0.5,0,770.876,Bergmann (1941)
KF,LiF,NaF,0.529,0.471,0,816.866,Bergmann (1941)
KF,LiF,NaF,0.544,0.456,0,835.328,Bergmann (1941)
KF,LiF,NaF,0.574,0.426,0,867.632,Bergmann (1941)
KF,LiF,NaF,0.6,0.4,0,892.333,Bergmann (1941)
KF,LiF,NaF,0.63,0.37,0,919.473,Bergmann (1941)
KF,LiF,NaF,0.65,0.35,0,938.744,Bergmann (1941)
KF,LiF,NaF,0.7,0.3,0,970.764,Bergmann (1941)
KF,LiF,NaF,0.75,0.25,0,1004.402,Bergmann (1941)
KF,LiF,NaF,0.8,0.2,0,1035.865,Bergmann (1941)
KF,LiF,NaF,0.85,0.15,0,1064.345,Bergmann (1941)
KF,LiF,NaF,0.9,0.1,0,1088.477,Bergmann (1941)
KF,LiF,NaF,1,0,0,1129.15,Bergmann (1941)
KF,LiF,NaF,1,0,0,1131.2,Volkov and Dubinskaya (1953)
KF,LiF,NaF,0.797,0.203,0,1030.5,Volkov and Dubinskaya (1953)
KF,LiF,NaF,0.641,0.359,0,911.5,Volkov and Dubinskaya (1953)
KF,LiF,NaF,0.53,0.47,0,811.7,Volkov and Dubinskaya (1953)
KF,LiF,NaF,0.51,0.49,0,800.7,Volkov and Dubinskaya (1953)
KF,LiF,NaF,0.487,0.513,0,781.2,Volkov and Dubinskaya (1953)
KF,LiF,NaF,0.461,0.539,0,778.2,Volkov and Dubinskaya (1953)
KF,LiF,NaF,0.439,0.561,0,808.0,Volkov and Dubinskaya (1953)
KF,LiF,NaF,0.372,0.628,0,884.0,Volkov and Dubinskaya (1953)
KF,LiF,NaF,0.189,0.811,0,1033.9,Volkov and Dubinskaya (1953)
KF,LiF,NaF,0,1,0,1120.9,Volkov and Dubinskaya (1953)
KF,LiF,NaF,0.000,1.000,0,1117.2,Aukrust (1960)
KF,LiF,NaF,0.050,0.951,0,1095.1,Aukrust (1960)
KF,LiF,NaF,0.101,0.899,0,1070.0,Aukrust (1960)
KF,LiF,NaF,0.157,0.843,0,1040.9,Aukrust (1960)
KF,LiF,NaF,0.226,0.774,0,996.8,Aukrust (1960)
KF,LiF,NaF,0.331,0.669,0,915.6,Aukrust (1960)
KF,LiF,NaF,0.596,0.404,0,885.5,Aukrust (1960)
KF,LiF,NaF,0.631,0.369,0,920.6,Aukrust (1960)
KF,LiF,NaF,0.760,0.240,0,1014.9,Aukrust (1960)
KF,LiF,NaF,0.826,0.174,0,1053.0,Aukrust (1960)
KF,LiF,NaF,0.910,0.090,0,1094.1,Aukrust (1960)
KF,LiF,NaF,1.000,0.000,0,1129.2,Aukrust (1960)
KF,LiF,NaF,0,1.000,0,1118.9,Capelli (2012)
